X     Y     River     Chainage
402053.344    490740.000    MAHAWATTA ELA    1048.680  
402048.563    490740.000    MAHAWATTA ELA    1053.445  
402043.813    490740.000    MAHAWATTA ELA    1058.210  
402041.781    490740.000    MAHAWATTA ELA    1060.240  
402039.750    490740.000    MAHAWATTA ELA    1062.270  
402035.219    490740.000    MAHAWATTA ELA    1066.787  
402030.719    490740.000    MAHAWATTA ELA    1071.304  
402026.188    490740.000    MAHAWATTA ELA    1075.822  
402021.688    490740.000    MAHAWATTA ELA    1080.339  
402017.563    490741.469    MAHAWATTA ELA    1084.856  
402013.688    490743.781    MAHAWATTA ELA    1089.373  
402009.812    490746.125    MAHAWATTA ELA    1093.891  
402005.938    490748.438    MAHAWATTA ELA    1098.408  
402002.063    490750.750    MAHAWATTA ELA    1102.925  
401998.188    490753.094    MAHAWATTA ELA    1107.442  
401994.313    490755.406    MAHAWATTA ELA    1111.959  
401990.438    490757.719    MAHAWATTA ELA    1116.477  
401986.563    490760.063    MAHAWATTA ELA    1120.994  
401982.688    490762.375    MAHAWATTA ELA    1125.511  
401978.813    490764.719    MAHAWATTA ELA    1130.028  
401974.938    490767.031    MAHAWATTA ELA    1134.546  
401971.094    490769.344    MAHAWATTA ELA    1139.063  
401968.875    490773.063    MAHAWATTA ELA    1143.580  
401967.844    490775.938    MAHAWATTA ELA    1146.625  
401966.813    490778.781    MAHAWATTA ELA    1149.670  
401965.375    490782.719    MAHAWATTA ELA    1153.864  
401963.938    490786.656    MAHAWATTA ELA    1158.058  
401962.500    490790.625    MAHAWATTA ELA    1162.252  
401961.063    490794.563    MAHAWATTA ELA    1166.447  
401959.625    490798.500    MAHAWATTA ELA    1170.641  
401958.219    490802.438    MAHAWATTA ELA    1174.835  
401956.781    490806.375    MAHAWATTA ELA    1179.029  
401955.344    490810.313    MAHAWATTA ELA    1183.223  
401953.906    490814.250    MAHAWATTA ELA    1187.417  
401952.469    490818.188    MAHAWATTA ELA    1191.612  
401951.031    490822.156    MAHAWATTA ELA    1195.806  
401949.594    490826.094    MAHAWATTA ELA    1200.000  
401949.594    490826.094    MAHAWATTA ELA    1200.000  
401949.063    490827.594    MAHAWATTA ELA    1201.595  
401948.500    490829.094    MAHAWATTA ELA    1203.190  
401946.844    490833.719    MAHAWATTA ELA    1208.118  
401945.156    490838.344    MAHAWATTA ELA    1213.046  
401943.469    490842.969    MAHAWATTA ELA    1217.974  
401941.781    490847.594    MAHAWATTA ELA    1222.901  
401940.094    490852.250    MAHAWATTA ELA    1227.829  
401938.406    490856.875    MAHAWATTA ELA    1232.757  
401936.719    490861.500    MAHAWATTA ELA    1237.685  
401935.031    490866.125    MAHAWATTA ELA    1242.613  
401933.344    490870.750    MAHAWATTA ELA    1247.541  
401931.688    490875.406    MAHAWATTA ELA    1252.469  
401930.000    490880.031    MAHAWATTA ELA    1257.396  
401932.219    490884.438    MAHAWATTA ELA    1262.324  
401934.406    490888.844    MAHAWATTA ELA    1267.252  
401936.625    490893.250    MAHAWATTA ELA    1272.180  
401938.625    490897.250    MAHAWATTA ELA    1276.667  
401940.625    490901.281    MAHAWATTA ELA    1281.154  
401942.656    490905.281    MAHAWATTA ELA    1285.641  
401944.656    490909.313    MAHAWATTA ELA    1290.127  
401946.656    490913.313    MAHAWATTA ELA    1294.614  
401948.656    490917.313    MAHAWATTA ELA    1299.101  
401950.656    490921.344    MAHAWATTA ELA    1303.588  
401952.688    490925.344    MAHAWATTA ELA    1308.075  
401954.687    490929.375    MAHAWATTA ELA    1312.562  
401956.688    490933.375    MAHAWATTA ELA    1317.049  
401958.688    490937.406    MAHAWATTA ELA    1321.536  
401960.688    490941.406    MAHAWATTA ELA    1326.022  
401962.719    490945.406    MAHAWATTA ELA    1330.509  
401964.719    490949.438    MAHAWATTA ELA    1334.996  
401966.719    490953.438    MAHAWATTA ELA    1339.483  
401968.719    490957.469    MAHAWATTA ELA    1343.970  
401970.188    490962.000    MAHAWATTA ELA    1348.815  
401970.594    490966.812    MAHAWATTA ELA    1353.660  
401971.000    490971.656    MAHAWATTA ELA    1358.505  
401971.438    490976.469    MAHAWATTA ELA    1363.350  
401971.844    490981.313    MAHAWATTA ELA    1368.195  
401972.281    490986.125    MAHAWATTA ELA    1373.040  
401972.688    490990.969    MAHAWATTA ELA    1377.885  
401973.125    490995.781    MAHAWATTA ELA    1382.730  
401973.500    491000.375    MAHAWATTA ELA    1387.332  
401973.906    491004.938    MAHAWATTA ELA    1391.933  
401974.313    491009.531    MAHAWATTA ELA    1396.535  
401974.719    491014.125    MAHAWATTA ELA    1401.137  
401975.094    491018.719    MAHAWATTA ELA    1405.738  
401975.500    491023.281    MAHAWATTA ELA    1410.340  
401975.906    491027.969    MAHAWATTA ELA    1415.024  
401976.313    491032.625    MAHAWATTA ELA    1419.707  
401976.719    491037.281    MAHAWATTA ELA    1424.391  
401977.125    491041.969    MAHAWATTA ELA    1429.074  
401977.531    491046.625    MAHAWATTA ELA    1433.758  
401977.938    491051.281    MAHAWATTA ELA    1438.441  
401978.344    491055.938    MAHAWATTA ELA    1443.125  
401978.750    491060.625    MAHAWATTA ELA    1447.809  
401979.156    491065.281    MAHAWATTA ELA    1452.492  
401979.563    491069.938    MAHAWATTA ELA    1457.176  
401979.969    491074.625    MAHAWATTA ELA    1461.859  
401980.375    491079.281    MAHAWATTA ELA    1466.543  
401980.781    491083.938    MAHAWATTA ELA    1471.226  
401981.188    491088.625    MAHAWATTA ELA    1475.910  
401981.625    491093.500    MAHAWATTA ELA    1480.823  
401982.031    491098.406    MAHAWATTA ELA    1485.736  
401982.469    491103.313    MAHAWATTA ELA    1490.649  
401982.875    491108.188    MAHAWATTA ELA    1495.562  
401983.313    491113.094    MAHAWATTA ELA    1500.475  
